PM2.5,PM10,Temp,Humidity,hour,pm25_lag_1,pm25_lag_2,temp_lag_1
30.93846153846154,40.79615384615385,31.881318681318678,80.1065934065934,0,30.462307692307693,29.986153846153847,31.549450549450547
31.414615384615384,41.7248717948718,32.21318681318681,78.56593406593407,1,30.93846153846154,30.462307692307693,31.881318681318678
31.89076923076923,42.65358974358975,32.54505494505494,77.02527472527473,2,31.414615384615384,30.93846153846154,32.21318681318681
32.36692307692307,43.582307692307694,32.87692307692308,75.48461538461538,3,31.89076923076923,31.414615384615384,32.54505494505494
32.84307692307692,44.51102564102565,33.20879120879121,73.94395604395605,4,32.36692307692307,31.89076923076923,32.87692307692308
33.31923076923077,45.43974358974359,33.54065934065934,72.4032967032967,5,32.84307692307692,32.36692307692307,33.20879120879121
33.79538461538461,46.368461538461546,33.87252747252747,70.86263736263737,6,33.31923076923077,32.84307692307692,33.54065934065934
34.271538461538455,47.29717948717949,34.20439560439561,69.32197802197803,7,33.79538461538461,33.31923076923077,33.87252747252747
34.747692307692304,48.22589743589744,34.53626373626374,67.78131868131868,8,34.271538461538455,33.79538461538461,34.20439560439561
35.223846153846154,49.15461538461539,34.86813186813187,66.24065934065935,9,34.747692307692304,34.271538461538455,34.53626373626374
35.699999999999996,50.083333333333336,35.2,64.7,10,35.223846153846154,34.747692307692304,34.86813186813187
36.165,50.167500000000004,35.6,65.36666666666667,11,35.699999999999996,35.223846153846154,35.2
38.92142857142857,51.15714285714286,37.971428571428575,61.300000000000004,12,36.165,35.699999999999996,35.6
37.98125,50.30625,38.675,60.225,13,38.92142857142857,36.165,37.971428571428575
32.76875,46.7,40.577777777777776,54.599999999999994,14,37.98125,38.92142857142857,38.675
32.05,40.9,37.31428571428571,62.857142857142854,15,32.76875,37.98125,40.577777777777776
25.554285714285715,33.07142857142857,34.483333333333334,70.03333333333333,16,32.05,32.76875,37.31428571428571
24.656666666666666,33.443333333333335,32.075,79.22500000000001,17,25.554285714285715,32.05,34.483333333333334
21.50714285714286,28.897142857142857,31.119999999999997,83.53999999999999,18,24.656666666666666,25.554285714285715,32.075
38.42,50.705,30.95,85.3125,19,21.50714285714286,24.656666666666666,31.119999999999997
24.5,28.1875,30.56666666666667,86.77777777777777,20,38.42,21.50714285714286,30.95
31.314285714285713,41.607142857142854,30.472727272727273,87.38181818181819,21,24.5,38.42,30.56666666666667
32.0,35.4,30.226136363636364,88.53409090909092,22,31.314285714285713,24.5,30.472727272727273
37.31428571428572,42.49285714285714,29.979545454545455,89.68636363636364,23,32.0,31.314285714285713,30.226136363636364
42.62857142857143,49.58571428571428,29.732954545454547,90.83863636363637,0,37.31428571428572,32.0,29.979545454545455
47.94285714285714,56.67857142857143,29.486363636363635,91.9909090909091,1,42.62857142857143,37.31428571428572,29.732954545454547
53.25714285714286,63.77142857142857,29.239772727272726,93.14318181818182,2,47.94285714285714,42.62857142857143,29.486363636363635
58.57142857142858,70.86428571428571,28.993181818181817,94.29545454545455,3,53.25714285714286,47.94285714285714,29.239772727272726
63.885714285714286,77.95714285714286,28.74659090909091,95.44772727272726,4,58.57142857142858,53.25714285714286,28.993181818181817
69.2,85.05,28.5,96.6,5,63.885714285714286,58.57142857142858,28.74659090909091
63.4765,78.6735,30.14,90.78,6,69.2,63.885714285714286,28.5
57.753,72.297,31.78,84.96,7,63.4765,69.2,30.14
52.0295,65.9205,33.42,79.14,8,57.753,63.4765,31.78
46.306,59.544000000000004,35.06,73.32,9,52.0295,57.753,33.42
40.582499999999996,53.167500000000004,36.7,67.5,10,46.306,52.0295,35.06
37.25,49.0,36.55,66.15,11,40.582499999999996,46.306,36.7
36.4,49.800000000000004,38.75,61.5,12,37.25,40.582499999999996,36.55
27.5,45.666666666666664,38.63333333333333,61.03333333333333,13,36.4,37.25,38.75
31.875,44.15,35.86666666666667,66.89999999999999,14,27.5,36.4,38.63333333333333
29.883333333333336,40.75,36.7,65.6,15,31.875,27.5,35.86666666666667
32.75,47.0,35.400000000000006,68.44999999999999,16,29.883333333333336,31.875,36.7
26.610000000000003,37.730000000000004,32.18333333333333,78.41666666666667,17,32.75,29.883333333333336,35.400000000000006
26.821428571428573,38.82142857142857,31.425,81.725,18,26.610000000000003,32.75,32.18333333333333
27.325,35.86666666666667,31.119999999999997,84.56,19,26.821428571428573,26.610000000000003,31.425
29.25,38.5,30.95,85.65,20,27.325,26.821428571428573,31.119999999999997
29.85,39.375,30.77777777777778,86.67037037037038,21,29.25,27.325,30.95
30.45,40.25,30.605555555555554,87.69074074074075,22,29.85,29.25,30.77777777777778
31.05,41.125,30.433333333333334,88.71111111111111,23,30.45,29.85,30.605555555555554
31.65,42.0,30.261111111111113,89.73148148148148,0,31.05,30.45,30.433333333333334
32.25,42.875,30.08888888888889,90.75185185185185,1,31.65,31.05,30.261111111111113
32.85,43.75,29.916666666666668,91.77222222222223,2,32.25,31.65,30.08888888888889
33.45,44.625,29.744444444444447,92.7925925925926,3,32.85,32.25,29.916666666666668
34.05,45.5,29.572222222222223,93.81296296296296,4,33.45,32.85,29.744444444444447
34.65,46.375,29.400000000000002,94.83333333333333,5,34.05,33.45,29.572222222222223
35.25,47.25,29.5,93.5,6,34.65,34.05,29.400000000000002
32.6,43.34466666666667,31.825,85.15833333333333,7,35.25,34.65,29.5
29.95,39.43933333333334,34.15,76.81666666666666,8,32.6,35.25,31.825
27.3,35.534000000000006,36.475,68.475,9,29.95,32.6,34.15
31.6875,40.75,39.271428571428565,59.57142857142857,10,27.3,29.95,36.475
31.0,36.0,35.8,65.0,11,31.6875,27.3,39.271428571428565
30.575,44.18666666666667,36.63333333333333,64.95,12,31.0,31.6875,35.8
31.183333333333334,41.08833333333333,38.56,60.379999999999995,13,30.575,31.0,36.63333333333333
29.442857142857143,38.22428571428571,37.871428571428574,62.800000000000004,14,31.183333333333334,30.575,38.56
25.44333333333333,33.723333333333336,36.06666666666667,66.93333333333334,15,29.442857142857143,31.183333333333334,37.871428571428574
29.583333333333332,42.43333333333333,34.21666666666667,73.43333333333334,16,25.44333333333333,29.442857142857143,36.06666666666667
35.10375,50.1775,32.6,77.9,17,29.583333333333332,25.44333333333333,34.21666666666667
47.260000000000005,63.9,31.7,83.61666666666666,18,35.10375,29.583333333333332,32.6
39.755,54.575,31.49047619047619,84.55873015873016,19,47.260000000000005,35.10375,31.7
32.25,45.25,31.28095238095238,85.50079365079365,20,39.755,47.260000000000005,31.49047619047619
27.5,36.983333333333334,31.071428571428573,86.44285714285715,21,32.25,39.755,31.28095238095238
27.28,33.46857142857143,30.922222222222224,87.73333333333333,22,27.5,32.25,31.071428571428573
36.08125,48.11875,30.77,89.06,23,27.28,27.5,30.922222222222224
31.428571428571427,40.528571428571425,30.9,88.3125,0,36.08125,27.28,30.77
33.80985714285714,43.83985714285714,30.7,89.59666666666666,1,31.428571428571427,36.08125,30.9
36.19114285714286,47.15114285714286,30.5,90.88083333333333,2,33.80985714285714,31.428571428571427,30.7
38.572428571428574,50.462428571428575,30.3,92.165,3,36.19114285714286,33.80985714285714,30.5
40.953714285714284,53.773714285714284,30.1,93.44916666666667,4,38.572428571428574,36.19114285714286,30.3
43.335,57.085,29.900000000000002,94.73333333333333,5,40.953714285714284,38.572428571428574,30.1
44.193,58.493,31.345000000000002,89.51166666666667,6,43.335,40.953714285714284,29.900000000000002
45.051,59.901,32.79,84.29,7,44.193,43.335,31.345000000000002
45.909,61.309,34.235,79.06833333333333,8,45.051,44.193,32.79
46.767,62.717,35.68,73.84666666666666,9,45.909,45.051,34.235
47.625,64.125,37.125,68.625,10,46.767,45.909,35.68
44.04125,58.15,38.175,62.9625,11,47.625,46.767,37.125
36.516666666666666,47.74166666666667,39.44285714285714,57.457142857142856,12,44.04125,47.625,38.175
30.080000000000002,38.239999999999995,37.3,62.8,13,36.516666666666666,44.04125,39.44285714285714
30.580000000000002,39.846,36.14,66.34,14,30.080000000000002,36.516666666666666,37.3
29.4,30.6,33.95,69.65,15,30.580000000000002,30.080000000000002,36.14
29.4875,39.4125,27.22,74.66,16,29.4,30.580000000000002,33.95
31.25,40.175,32.25,78.8,17,29.4875,29.4,27.22
34.9825,48.155,31.15,82.25,18,31.25,29.4875,32.25
40.67777777777778,54.68333333333333,30.8,83.18333333333334,19,34.9825,31.25,31.15
36.0,49.25,30.514285714285712,84.15714285714286,20,40.67777777777778,34.9825,30.8
52.09571428571429,68.88142857142857,30.375,85.0125,21,36.0,40.67777777777778,30.514285714285712
50.21875,68.6975,30.24285714285714,85.67142857142858,22,52.09571428571429,36.0,30.375
47.214285714285715,64.53571428571429,30.1375,86.525,23,50.21875,52.09571428571429,30.24285714285714
45.644999999999996,59.785000000000004,29.924999999999997,87.175,0,47.214285714285715,50.21875,30.1375
